,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
744,CA,0,2,2,0,11,0,7
745,CA,0,1,2,0,11,1,2
746,CA,0,2,2,0,11,0,2
747,CA,0,2,1,0,10,1,1
748,CA,0,2,99,0,10,0,7
749,CA,0,2,1,0,11,0,1
750,CA,0,2,1,0,10,0,7
751,CA,0,2,2,0,11,0,2
752,CA,0,1,1,0,11,1,1
753,CA,0,1,99,0,11,0,7
754,CA,0,1,99,0,11,0,7
755,CA,0,2,99,0,10,0,7
756,CA,0,2,99,0,11,0,7
757,CA,0,2,3,0,9,0,7
758,CA,1,2,1,0,10,0,1
759,CA,1,1,99,0,11,0,7
760,CA,0,2,99,0,11,0,7
761,CA,0,1,99,0,11,0,7
762,CA,0,2,6,0,11,0,6
763,CA,0,2,1,0,10,0,1
764,CA,0,2,99,0,11,0,7
765,CA,0,1,2,0,10,0,2
766,CA,0,1,99,0,11,0,7
767,CA,0,2,99,0,10,0,7
768,CA,0,1,99,0,11,0,7
769,CA,0,2,99,0,10,0,7
770,CA,0,2,99,0,10,0,7
771,CA,0,2,99,0,10,1,7
774,CA,0,2,99,0,9,1,7
775,CA,0,2,1,0,10,0,1
776,CA,0,1,2,0,11,1,2
777,CA,0,2,1,0,12,0,1
778,CA,0,2,1,0,10,0,7
779,CA,1,1,1,0,11,0,1
780,CA,0,2,1,0,10,0,1
781,CA,0,2,4,0,11,0,4
782,CA,0,1,2,0,11,1,2
783,CA,0,1,1,0,11,0,7
784,CA,1,2,99,0,8,1,7
785,CA,0,1,2,0,11,1,2
786,CA,0,2,1,0,11,0,1
787,CA,0,1,6,0,12,0,6
788,CA,0,1,1,0,10,1,1
789,CA,1,2,99,0,11,1,7
790,CA,0,1,1,0,10,0,7
791,CA,0,1,2,0,10,0,2
792,CA,0,2,99,0,11,0,7
793,CA,0,2,1,0,10,0,7
794,CA,1,1,99,0,9,0,7
795,CA,0,2,99,0,11,0,7
796,CA,0,2,99,0,11,0,7
797,CA,0,1,99,0,11,0,7
798,CA,0,2,99,0,11,0,7
799,CA,0,2,1,0,11,0,7
800,CA,0,1,99,0,10,0,7
801,CA,0,2,2,0,9,0,2
802,CA,0,1,99,0,11,1,7
803,CA,0,2,6,0,10,0,6
804,CA,0,1,1,0,11,0,1
805,CA,0,1,99,0,10,0,7
806,CA,0,2,1,0,10,0,7
807,CA,0,1,1,0,11,1,1
809,CA,0,2,2,0,10,0,2
810,CA,1,1,1,0,10,0,7
811,CA,0,1,2,0,11,0,2
812,CA,0,1,4,0,11,0,4
813,CA,0,1,99,0,10,0,7
814,CA,0,1,1,0,0,0,1
815,CA,0,1,2,0,10,1,2
816,CA,1,2,99,0,10,0,7
817,CA,0,2,2,0,13,0,2
818,CA,0,1,99,0,11,0,7
819,CA,0,2,1,0,11,0,1
820,CA,1,1,1,0,10,1,1
821,CA,0,1,1,0,10,0,1
822,CA,0,2,2,0,8,0,2
823,CA,0,2,2,0,11,0,2
824,CA,1,1,99,0,11,1,7
825,CA,0,1,2,0,9,1,2
826,CA,0,2,6,0,10,0,7
827,CA,0,2,99,0,10,0,7
828,CA,0,2,99,0,9,0,7
829,CA,0,1,99,0,9,0,7
830,CA,1,1,1,0,11,1,1
831,CA,0,1,99,0,7,0,7
832,CA,0,2,99,0,9,1,7
833,CA,0,1,1,0,10,1,1
834,CA,0,2,1,0,11,0,7
836,CA,0,2,1,0,11,1,1
837,CA,0,1,1,0,10,1,1
838,CA,0,2,1,0,9,0,1
839,CA,0,2,2,0,10,0,2
840,CA,0,1,1,0,11,0,7
841,CA,1,1,2,0,11,0,2
842,CA,0,2,2,0,11,0,2
843,CA,0,2,6,0,10,0,6
844,CA,0,2,99,0,10,0,7
845,CA,0,2,99,0,10,0,7
846,CA,0,1,2,0,10,0,2
847,CA,0,2,2,0,12,0,2
848,CA,0,1,1,0,10,0,1
849,CA,0,1,1,0,11,0,7
850,CA,0,2,2,0,10,0,2
851,CA,0,2,2,0,9,0,2
852,CA,0,1,99,0,10,0,7
853,CA,1,1,99,0,10,1,7
854,CA,1,1,6,0,9,0,6
855,CA,0,2,99,0,9,0,7
856,CA,0,2,4,0,10,0,4
857,CA,0,2,4,0,10,1,4
858,CA,0,2,1,0,10,0,1
859,CA,0,1,1,0,11,0,7
860,CA,0,2,2,0,10,0,2
861,CA,0,2,99,0,11,0,7
862,CA,0,2,1,0,10,0,1
863,CA,0,1,2,0,10,0,2
864,CA,0,2,1,0,8,0,1
865,CA,1,1,1,0,11,1,1
866,CA,0,2,99,0,11,0,7
867,CA,0,2,2,0,10,0,2
868,CA,0,2,99,0,10,0,7
869,CA,0,2,99,0,11,0,7
870,CA,0,2,99,0,12,0,7
872,CA,1,1,1,0,11,0,1
873,CA,0,2,2,0,10,1,2
874,CA,0,2,1,0,9,1,7
876,CA,0,2,99,0,11,1,7
877,CA,0,2,3,0,9,0,7
878,CA,0,2,99,0,11,0,7
879,CA,0,2,99,0,9,0,7
880,CA,0,1,2,0,11,0,2
881,CA,1,1,1,0,9,1,1
882,CA,0,2,4,0,13,0,4
883,CA,1,1,2,0,11,0,2
884,CA,0,1,2,0,10,1,2
885,CA,0,2,2,0,11,0,2
886,CA,0,1,6,0,0,0,6
887,CA,0,2,1,0,11,1,1
888,CA,1,1,1,0,10,1,1
889,CA,0,2,1,0,11,0,1
890,CA,0,1,3,1,10,0,3
891,CA,0,2,99,0,11,0,7
892,CA,0,2,1,0,10,0,1
893,CA,0,2,99,0,9,0,7
894,CA,0,1,2,0,10,1,2
895,CA,0,1,1,0,10,1,1
896,CA,0,2,99,0,10,0,7
897,CA,0,2,2,0,9,0,2
898,CA,0,2,6,0,11,0,6
899,CA,0,2,99,0,9,0,7
900,CA,0,1,2,0,11,0,2
901,CA,0,2,2,0,10,0,2
902,CA,0,1,1,0,10,0,1
903,CA,1,1,99,0,11,0,7
904,CA,0,2,99,0,11,0,7
905,CA,0,2,99,0,10,0,7
906,CA,1,1,1,0,8,0,1
907,CA,0,1,99,0,10,0,7
908,CA,0,2,2,0,12,0,2
909,CA,0,1,1,0,10,0,7
910,CA,0,2,2,0,10,0,2
911,CA,0,2,1,0,11,0,1
912,CA,0,1,99,0,9,0,7
913,CA,0,2,1,0,11,0,1
914,CA,0,2,1,0,12,0,7
915,CA,0,2,1,0,11,0,1
916,CA,0,2,2,0,11,0,7
917,CA,0,2,2,0,9,0,2
918,CA,0,2,1,0,11,0,1
919,CA,0,2,2,0,11,0,2
920,CA,0,2,1,0,10,0,7
921,CA,0,2,99,0,12,0,7
922,CA,1,2,99,0,13,1,7
923,CA,0,2,2,0,10,0,2
924,CA,0,2,99,0,11,0,7
925,CA,0,2,2,0,9,0,7
926,CA,0,2,99,0,11,0,7
927,CA,0,1,6,0,10,1,6
928,CA,0,2,99,0,10,0,7
929,CA,0,1,1,0,11,0,1
930,CA,0,2,99,0,10,0,7
931,CA,1,1,2,0,10,0,2
932,CA,0,1,1,0,9,1,7
933,CA,0,2,2,0,11,0,2
934,CA,1,1,2,0,10,1,2
935,CA,0,1,1,0,10,0,1
936,CA,0,1,1,0,10,0,7
937,CA,0,1,99,0,11,1,7
939,CA,0,2,1,0,11,1,1
940,CA,0,1,2,0,11,1,2
941,CA,0,2,2,0,11,0,2
942,CA,1,1,99,0,10,1,7
943,CA,0,1,1,0,10,0,1
944,CA,0,2,2,0,10,0,2
945,CA,0,1,2,0,12,1,2
946,CA,0,2,99,0,10,0,7
947,CA,0,2,4,0,11,0,7
948,CA,0,2,99,0,11,0,7
949,CA,0,1,99,0,10,0,7
950,CA,0,1,1,0,10,0,1
951,CA,1,2,99,0,11,1,7
952,CA,0,1,1,0,9,0,1
953,CA,0,2,2,0,11,0,2
954,CA,0,2,1,0,10,0,1
955,CA,0,2,2,0,10,0,7
956,CA,0,1,3,0,11,0,3
957,CA,1,1,2,0,11,0,2
958,CA,0,1,1,0,9,1,1
959,CA,1,1,99,0,12,1,7
960,CA,0,2,99,0,11,0,7
961,CA,1,1,1,0,8,1,1
962,CA,0,1,99,0,11,0,7
964,CA,0,2,2,0,11,0,2
965,CA,0,2,1,0,9,0,1
966,CA,0,2,1,0,10,0,1
967,CA,0,1,1,0,10,0,1
968,CA,0,2,1,0,10,0,1
969,CA,0,2,1,0,9,0,1
970,CA,0,2,2,0,9,0,2
971,CA,0,1,1,0,9,0,1
972,CA,0,1,1,0,9,0,1
973,CA,0,2,2,0,11,0,2
974,CA,0,1,1,0,10,0,7
975,CA,0,2,3,1,10,1,7
976,CA,0,2,99,0,11,0,7
977,CA,0,2,99,0,9,0,7
978,CA,0,1,1,0,10,0,1
979,CA,0,2,99,0,11,0,7
980,CA,0,2,1,0,11,0,1
982,CA,0,1,6,0,11,0,6
983,CA,0,2,1,0,14,0,1
984,CA,0,2,1,0,10,0,1
985,CA,0,2,1,0,11,0,7
986,CA,0,2,2,0,11,1,2
987,CA,1,2,99,0,11,0,7
988,CA,0,2,6,1,10,0,7
989,CA,0,2,2,0,12,0,2
990,CA,0,2,2,0,10,1,2
991,CA,0,1,99,0,10,0,7
992,CA,0,1,99,0,10,1,99
993,CA,0,1,2,0,8,1,2
994,CA,0,2,99,0,10,1,7
996,CA,0,2,2,0,10,1,2
997,CA,1,1,4,0,11,0,4
998,CA,0,1,1,0,9,0,1
999,CA,0,1,3,0,11,0,7
1000,CA,0,1,2,0,10,1,2
1001,CA,0,2,6,0,11,0,6
1002,CA,0,1,99,0,10,1,7
1003,CA,0,2,99,0,11,0,7
1004,CA,0,1,99,0,11,0,7
1005,CA,0,2,99,0,11,0,7
1006,CA,1,1,2,0,10,1,2
1007,CA,1,2,5,0,11,0,7
1008,CA,0,2,99,0,11,1,7
1009,CA,0,2,6,1,9,0,6
1010,CA,0,2,99,0,11,0,7
1011,CA,0,2,2,0,10,0,2
1012,CA,0,1,1,0,10,0,1
1013,CA,0,2,1,0,9,0,1
1014,CA,0,2,1,0,11,0,1
1015,CA,0,2,99,0,11,0,7
1016,CA,0,2,2,0,12,0,2
1017,CA,0,2,2,0,11,0,2
1018,CA,0,1,2,0,11,1,2
1019,CA,0,1,1,0,10,0,1
1020,CA,0,2,1,0,11,0,1
1021,CA,1,1,1,0,10,0,1
1022,CA,0,1,2,0,10,0,2
1023,CA,0,1,1,0,9,0,1
1024,CA,0,2,1,0,11,1,7
1025,CA,0,1,99,0,7,0,7
1026,CA,0,2,2,0,11,0,2
1027,CA,0,1,99,0,9,1,7
1028,CA,0,1,2,0,11,0,2
1029,CA,0,1,99,1,11,0,7
1030,CA,0,2,2,0,9,0,2
1031,CA,0,2,6,0,11,0,6
1032,CA,0,1,2,0,10,1,2
1033,CA,1,2,6,0,9,0,6
1034,CA,0,2,1,0,11,0,1
1035,CA,0,2,3,1,10,0,7
1036,CA,1,2,1,0,10,0,1
1037,CA,0,2,99,0,10,1,7
1038,CA,0,1,1,0,11,0,7
1039,CA,0,2,6,0,9,0,6
1040,CA,1,1,3,1,10,1,3
1041,CA,0,1,99,0,11,0,7
1042,CA,0,1,1,0,9,0,1
1043,CA,0,2,1,0,11,0,1
1044,CA,0,1,2,0,10,1,2
1045,CA,0,2,2,0,11,1,2
1046,CA,0,2,99,0,9,0,7
1047,CA,1,1,99,0,12,0,7
1048,CA,0,2,2,0,12,0,2
1049,CA,0,2,1,0,11,0,1
1050,CA,1,1,4,0,10,0,4
1051,CA,0,2,2,0,10,0,2
1052,CA,0,2,1,0,11,0,7
1053,CA,0,1,2,0,11,0,2
1054,CA,1,1,1,0,10,0,7
1055,CA,0,2,3,1,9,0,7
1056,CA,0,2,99,0,11,0,7
1057,CA,0,1,2,0,10,0,2
1058,CA,0,1,2,0,10,0,2
1059,CA,1,1,99,0,10,1,7
1060,CA,0,1,1,0,9,0,1
1061,CA,0,2,1,0,11,0,7
1062,CA,0,2,2,0,11,0,2
1063,CA,1,1,1,0,11,0,1
1064,CA,0,1,6,1,11,0,7
1065,CA,0,1,99,0,11,0,7
1066,CA,0,1,1,0,10,0,1
1067,CA,0,1,1,0,10,1,1
1068,CA,0,2,6,1,11,0,6
1069,CA,0,2,1,0,10,1,7
1070,CA,0,2,2,0,11,0,2
1071,CA,0,2,1,0,10,0,7
1072,CA,0,2,1,0,10,0,1
1073,CA,0,2,2,0,10,0,2
1074,CA,0,2,1,0,11,0,7
1075,CA,0,2,2,0,11,0,2
1076,CA,0,1,2,0,11,0,2
1077,CA,0,2,1,0,11,1,1
1078,CA,0,2,1,0,9,1,1
1079,CA,0,1,99,0,12,0,7
1080,CA,0,1,2,0,0,1,2
1081,CA,1,1,99,0,10,0,7
1082,CA,0,2,99,0,9,0,7
1083,CA,0,1,1,0,8,0,1
1084,CA,0,2,99,0,11,1,7
1085,CA,0,1,2,0,8,0,2
1086,CA,0,1,6,0,7,0,6
1087,CA,0,2,1,0,11,0,1
1088,CA,0,2,2,0,11,0,7
1089,CA,0,2,1,0,10,0,7
1090,CA,0,1,1,0,9,0,1
1091,CA,0,1,1,0,10,0,7
1092,CA,0,2,99,0,12,0,7
1093,CA,0,2,1,0,9,0,1
1094,CA,0,1,1,0,6,0,1
1095,CA,0,1,2,0,10,1,2
1096,CA,0,2,1,0,12,0,7
1097,CA,1,1,2,0,9,0,2
1098,CA,0,2,2,0,10,0,2
1099,CA,0,1,2,0,10,1,2
1100,CA,0,1,1,0,12,0,1
1101,CA,1,1,1,0,9,1,7
1103,CA,0,1,1,0,11,0,1
1104,CA,0,1,99,0,10,1,7
1105,CA,0,2,99,0,10,1,7
1106,CA,0,2,1,0,11,0,7
1107,CA,0,1,2,0,11,0,2
1108,CA,0,1,99,0,10,0,7
1109,CA,0,1,2,0,10,1,2
1110,CA,0,2,2,0,10,1,2
1111,CA,1,1,2,0,9,0,2
1112,CA,0,2,99,0,11,0,7
1113,CA,0,2,2,0,11,1,2
1114,CA,0,2,1,0,10,0,1
1115,CA,0,1,6,1,10,0,7
1116,CA,0,2,99,0,9,0,7
1117,CA,0,2,99,0,8,1,7
1118,CA,0,1,1,0,11,0,1
1119,CA,1,1,99,0,11,0,7
1120,CA,0,2,99,0,12,0,7
1121,CA,0,2,2,0,9,0,2
1122,CA,0,1,1,0,10,0,1
1123,CA,0,2,99,0,9,0,7
1124,CA,0,2,1,0,7,0,1
1125,CA,0,1,1,0,10,0,1
1126,CA,0,1,2,0,11,0,7
1127,CA,0,1,99,0,9,1,7
1128,CA,0,1,1,0,10,0,1
1129,CA,0,2,2,0,10,0,2
1130,CA,0,2,1,0,10,0,7
1131,CA,0,2,6,0,11,0,6
1132,CA,0,2,1,1,10,0,1
1133,CA,0,1,2,0,10,0,2
1134,CA,1,1,1,0,11,1,1
1135,CA,0,1,1,0,9,0,1
1136,CA,1,1,1,0,9,0,7
1137,CA,0,2,2,0,11,0,2
1138,CA,0,2,2,0,11,0,2
1139,CA,0,2,99,0,10,0,7
1140,CA,0,1,99,0,11,0,7
1141,CA,0,1,2,0,11,0,2
1142,CA,0,2,2,0,14,1,2
1143,CA,1,1,2,0,11,0,2
1144,CA,0,2,2,0,9,0,2
1145,CA,0,2,99,0,11,1,7
1146,CA,0,2,99,0,10,1,7
1147,CA,0,2,99,0,9,0,7
1148,CA,0,2,2,0,11,0,2
1149,CA,0,2,1,0,9,0,1
1150,CA,0,2,1,0,11,0,1
1151,CA,0,1,2,0,10,0,2
1152,CA,0,2,99,0,10,0,7
1153,CA,0,2,2,0,11,1,2
1154,CA,0,1,1,0,10,0,7
1155,CA,0,1,1,0,10,1,7
1156,CA,0,2,2,0,10,0,2
1157,CA,0,1,1,0,11,1,7
1158,CA,1,2,1,0,10,0,7
1159,CA,0,2,99,0,11,0,7
1160,CA,0,2,5,0,9,0,5
1161,CA,0,2,2,0,11,0,2
1162,CA,0,1,2,0,9,0,2
1163,CA,0,1,2,0,10,1,2
1164,CA,0,1,1,0,10,0,1
1165,CA,0,2,99,0,9,0,7
1166,CA,0,1,1,0,9,0,1
1167,CA,0,2,6,0,11,0,6
1168,CA,0,2,1,0,12,0,1
1169,CA,0,1,1,0,11,0,7
1170,CA,0,1,1,0,11,0,7
1171,CA,0,2,99,0,10,0,7
1172,CA,0,2,1,0,10,1,1
1173,CA,0,2,2,0,9,0,2
1174,CA,0,2,1,0,10,0,7
1175,CA,0,2,1,0,10,0,7
1176,CA,0,1,1,0,10,1,1
1177,CA,0,2,1,0,10,0,1
1178,CA,0,2,99,0,10,0,7
1179,CA,0,2,2,0,11,1,2
1180,CA,1,2,1,0,11,1,1
1181,CA,0,2,6,0,11,0,6
1182,CA,0,2,2,0,11,0,2
1183,CA,0,2,4,0,10,0,4
1184,CA,0,1,99,0,9,0,7
1185,CA,0,2,2,0,11,1,2
1186,CA,0,2,99,0,10,1,7
1187,CA,0,2,1,0,10,0,1
1188,CA,0,1,99,0,11,0,7
1189,CA,0,2,1,0,12,0,1
1190,CA,1,2,2,0,11,0,2
1191,CA,0,2,99,0,10,0,7
1192,CA,0,2,2,0,10,0,2
1193,CA,0,1,1,0,7,0,1
1194,CA,0,2,1,0,10,0,1
1195,CA,0,1,2,0,10,1,2
1196,CA,1,1,2,0,11,0,2
1197,CA,0,2,2,0,7,0,2
1198,CA,0,1,2,0,9,0,2
1199,CA,0,1,3,1,10,0,3
1200,CA,0,2,1,0,10,0,1
1201,CA,0,1,2,0,11,1,2
1202,CA,0,2,99,0,9,0,7
1203,CA,0,2,1,0,11,0,1
1204,CA,0,2,2,0,11,0,2
1205,CA,0,1,1,0,10,1,1
1206,CA,0,2,1,0,9,0,7
1207,CA,0,2,1,0,10,1,1
1208,CA,0,1,2,0,11,1,2
1209,CA,0,2,1,0,11,0,1
1210,CA,0,1,6,0,11,1,6
1211,CA,0,2,2,0,10,0,2
1212,CA,0,2,2,0,11,0,2
1213,CA,0,2,2,0,10,0,2
1214,CA,0,1,1,0,10,0,1
1215,CA,0,1,1,0,11,0,1
1216,CA,0,2,1,0,8,0,1
1217,CA,0,2,1,0,11,0,1
1218,CA,0,2,2,0,10,0,2
1219,CA,0,2,99,0,10,1,7
1220,CA,1,1,1,0,10,0,7
1221,CA,1,1,2,0,10,0,2
1222,CA,0,2,2,0,0,0,2
1223,CA,0,1,2,0,11,0,2
1224,CA,0,2,2,0,11,1,2
1225,CA,0,2,99,0,11,0,7
1226,CA,1,1,1,0,10,1,1
1227,CA,0,2,1,0,10,0,1
1228,CA,0,1,1,0,9,1,1
1229,CA,1,1,2,0,10,0,2
1230,CA,0,2,99,0,9,0,7
1231,CA,0,2,1,0,11,1,1
1232,CA,0,1,2,0,11,0,2
1233,CA,0,2,1,0,11,0,7
1234,CA,1,2,1,0,10,0,1
1235,CA,1,1,6,0,11,0,7
1236,CA,1,1,99,0,9,0,7
1237,CA,0,2,1,0,9,0,1
1238,CA,0,2,6,0,11,0,6
1239,CA,0,1,6,0,11,0,6
1240,CA,0,2,1,0,10,1,7
1241,CA,0,1,1,0,9,1,1
1242,CA,0,2,1,1,11,0,1
1243,CA,0,2,1,0,10,0,7
1244,CA,0,2,1,0,11,0,1
1245,CA,0,2,99,0,11,1,7
1246,CA,0,2,4,0,11,0,4
1247,CA,0,2,99,0,11,1,7
1248,CA,0,1,1,0,9,0,1
1249,CA,0,2,2,0,10,0,2
1250,CA,0,2,1,0,10,0,7
1251,CA,0,2,2,0,10,0,2
1252,CA,0,1,1,0,9,0,7
1253,CA,0,2,2,0,9,0,2
1254,CA,0,2,1,0,10,1,7
1255,CA,0,2,99,0,10,0,7
1256,CA,0,1,99,0,10,0,7
1257,CA,0,1,1,0,11,0,1
1258,CA,0,2,1,0,11,0,1
1259,CA,0,2,99,0,9,0,7
1260,CA,0,1,1,0,11,0,1
1261,CA,0,2,99,0,11,0,7
1262,CA,0,1,99,0,11,1,7
1263,CA,0,1,1,0,10,1,7
1264,CA,0,2,99,0,10,0,7
1266,CA,0,2,1,0,9,0,1
1267,CA,0,1,99,0,11,0,7
1268,CA,0,2,1,0,11,0,7
1269,CA,0,2,1,0,10,0,1
1270,CA,1,2,2,0,9,1,2
1271,CA,0,1,2,0,10,1,2
1272,CA,0,2,1,0,11,1,7
1273,CA,0,2,2,0,11,0,2
1274,CA,0,2,1,0,9,0,7
1275,CA,0,2,6,0,11,0,6
1276,CA,1,1,1,0,7,0,1
1277,CA,0,2,2,0,10,0,2
1278,CA,0,1,1,0,11,1,1
1279,CA,0,1,2,0,10,0,2
1280,CA,0,1,1,0,9,0,1
1281,CA,0,2,1,0,10,0,1
1282,CA,0,1,6,0,11,0,6
1283,CA,0,2,99,0,11,0,7
1284,CA,0,1,2,0,9,0,2
1285,CA,0,2,2,0,11,0,2
1286,CA,0,2,1,0,10,0,1
1287,CA,0,2,4,0,11,0,4
1288,CA,1,1,1,0,11,1,1
1289,CA,0,2,4,0,10,0,4
1290,CA,0,2,6,0,8,0,6
1291,CA,1,1,2,0,10,0,2
1292,CA,1,1,2,0,10,1,2
1293,CA,0,1,1,0,10,0,7
1294,CA,0,1,2,0,10,1,2
1295,CA,0,2,99,0,11,0,7
1296,CA,1,1,99,0,9,1,7
1297,CA,0,2,1,0,12,0,1
1298,CA,0,2,99,0,11,0,7
1299,CA,0,1,99,0,12,1,7
1300,CA,0,1,4,0,11,0,4
1301,CA,0,1,99,0,9,1,7
1303,CA,0,2,1,0,10,0,7
1304,CA,0,2,2,0,12,0,2
1305,CA,1,2,99,0,11,0,7
1306,CA,0,2,99,0,11,1,7
1307,CA,0,1,2,0,11,1,2
1308,CA,0,2,2,0,11,0,7
1309,CA,0,2,1,0,10,0,1
1310,CA,0,2,99,0,11,1,7
1311,CA,0,1,2,0,9,1,2
1312,CA,0,1,99,0,8,0,7
1313,CA,0,1,1,0,11,0,7
1314,CA,0,2,1,0,10,1,1
1315,CA,0,2,2,0,10,1,2
1316,CA,1,1,2,0,11,0,2
1317,CA,0,2,2,0,11,0,2
1318,CA,0,1,2,0,11,0,2
1319,CA,0,1,99,0,10,0,7
1320,CA,0,2,1,0,11,0,7
1321,CA,1,1,99,0,10,0,7
1322,CA,0,1,1,0,12,0,7
1323,CA,0,2,99,0,11,0,7
1324,CA,0,1,2,0,11,0,2
1325,CA,0,2,2,0,9,1,2
1326,CA,0,2,2,0,11,0,7
1327,CA,0,1,1,0,9,1,7
1328,CA,0,1,6,0,9,0,6
1329,CA,0,1,1,0,11,1,1
1331,CA,1,1,99,0,11,0,7
1332,CA,0,2,6,0,10,0,6
1333,CA,0,1,2,0,9,0,7
1334,CA,0,2,2,0,10,1,2
1335,CA,0,2,2,0,9,0,2
1336,CA,0,2,99,0,12,0,7
1337,CA,0,2,99,0,10,0,7
1338,CA,1,1,99,0,13,0,7
1339,CA,0,2,99,0,10,0,7
1340,CA,0,1,1,0,10,0,1
1342,CA,0,2,1,0,9,1,1
1343,CA,0,2,2,0,10,0,2
1344,CA,0,2,1,0,10,0,1
1345,CA,0,1,99,0,11,0,7
1346,CA,0,2,1,0,0,0,7
1347,CA,1,2,99,0,9,0,7
1348,CA,0,2,1,0,11,0,1
1349,CA,0,2,1,0,10,0,1
1350,CA,0,2,1,0,11,0,7
1351,CA,0,2,99,0,11,0,7
1352,CA,0,1,99,0,11,1,7
1354,CA,1,1,1,0,9,1,1
1355,CA,0,2,99,0,11,1,7
1356,CA,0,1,1,0,10,0,1
1357,CA,0,1,2,0,11,0,2
1358,CA,1,1,1,0,9,0,1
1359,CA,0,1,99,0,11,1,7
1360,CA,1,2,2,0,10,0,2
1361,CA,1,1,1,0,10,0,7
1362,CA,0,2,2,0,11,0,2
1363,CA,0,1,2,0,11,1,2
1364,CA,1,1,99,0,9,0,7
1365,CA,0,1,2,0,11,1,2
1366,CA,0,2,1,0,11,0,1
1367,CA,0,1,1,0,11,1,1
1368,CA,0,1,2,0,11,0,2
1369,CA,0,2,99,0,10,0,7
1370,CA,0,2,1,0,10,0,1
1371,CA,0,2,1,0,10,0,7
1372,CA,0,2,99,0,8,0,7
1373,CO,1,2,1,0,12,0,1
1374,CA,0,2,1,0,11,0,7
1375,CA,0,1,99,0,10,1,7
1376,CA,0,1,4,0,10,0,4
1377,CA,0,1,99,0,12,0,7
1378,CA,0,1,1,0,11,1,1
1379,CA,0,2,1,0,12,0,1
1380,CA,0,2,99,0,9,0,7
1381,CA,0,2,1,0,11,1,7
1382,CA,0,2,6,0,11,0,6
1383,CA,0,1,2,0,10,0,2
1384,CA,0,2,99,0,11,0,7
1385,CA,0,1,2,0,13,0,2
1386,CA,0,2,1,0,10,0,7
1387,CA,0,2,2,0,9,0,2
1388,CA,0,1,1,0,11,1,7
1389,CA,0,2,99,0,10,0,7
1390,CA,0,1,99,0,11,0,7
1391,CA,0,2,99,0,9,0,7
1392,CA,0,2,1,0,11,0,1
1393,CA,0,2,5,0,9,0,7
1394,CA,0,1,1,0,11,1,1
1395,CA,1,1,99,0,10,0,7
1396,CA,0,2,1,0,11,0,1
1397,CA,1,1,99,0,9,0,7
1398,CA,0,1,1,0,10,0,1
1399,CA,1,1,99,0,11,1,7
1400,CA,0,1,1,0,11,1,7
1401,CA,0,1,2,0,10,1,2
1402,CA,0,1,1,0,10,0,1
1403,CA,0,1,99,0,10,1,7
1404,CA,0,2,99,0,11,0,7
1405,CA,0,1,2,0,10,1,2
1406,CA,0,2,99,0,10,0,7
1407,CA,0,2,99,0,11,0,99
1408,CA,0,2,2,0,11,0,2
1409,CA,0,2,99,0,11,0,7
1410,CA,0,2,1,0,12,0,7
1411,CA,0,2,99,0,10,1,7
1412,CA,1,1,99,0,11,0,99
1413,CA,0,2,2,0,9,0,2
1414,CA,0,2,99,0,11,0,7
1415,CA,0,1,2,0,10,1,2
1416,CA,0,2,99,0,11,0,7
1417,CA,0,1,1,0,10,0,1
1418,CA,0,2,99,0,11,0,7
1419,CA,0,2,99,0,10,0,7
1420,CA,1,1,99,0,11,1,7
1421,CA,0,1,1,0,10,1,1
1422,CA,0,1,1,0,10,0,1
1423,CA,0,2,2,0,11,1,2
1424,CA,0,1,1,0,10,0,1
1425,CA,0,1,2,0,11,1,2
1426,CA,0,1,99,0,11,0,7
1427,CA,0,2,99,0,11,0,7
1428,CA,0,2,99,0,11,0,7
1429,CA,0,2,1,0,9,0,7
1430,CA,1,1,1,0,11,0,1
1431,CA,0,2,2,0,11,0,2
1432,CA,0,2,4,0,11,0,4
1433,CA,0,1,99,0,11,0,7
1434,CA,0,2,99,0,12,0,7
1435,CA,1,1,1,0,0,0,1
1436,CA,0,1,1,0,10,1,1
1437,CA,0,1,99,0,10,1,99
1438,CA,0,2,1,0,10,0,1
1439,CA,0,1,1,0,12,0,1
1440,CA,1,2,99,0,10,0,7
1441,CA,0,2,1,0,10,0,1
1442,CA,0,2,2,0,11,1,7
1443,CA,0,1,2,0,10,0,2
1444,CA,1,2,1,0,10,1,1
1445,CA,0,2,2,0,10,1,2
1446,CA,0,1,1,0,10,0,1
1447,CA,1,2,2,0,9,0,2
1448,CA,0,1,2,0,11,0,2
1449,CA,1,1,99,0,10,1,7
1450,CA,0,2,1,0,9,1,1
1451,CA,1,2,99,0,10,0,7
1452,CA,0,1,1,0,9,0,1
1453,CA,0,2,1,0,11,0,1
1454,CA,0,2,1,0,9,0,1
1455,CA,0,2,4,0,12,0,4
1456,CA,0,2,99,0,9,1,7
1457,CA,0,1,1,0,10,0,1
1458,CA,0,2,99,0,11,0,7
1459,CA,1,2,2,0,9,1,2
1460,CA,0,2,1,0,10,0,1
1461,CA,0,2,99,0,9,1,7
1462,CA,1,1,99,0,9,1,7
1463,CA,0,2,99,0,11,0,7
1464,CA,0,2,99,0,10,0,7
1465,CA,0,1,99,0,10,0,7
1466,CA,0,1,6,0,11,0,6
1467,CA,0,2,99,0,10,0,7
1468,CA,0,2,2,0,11,1,2
