,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
172,AR,0,1,1,0,7,0,1
173,AR,0,2,6,0,10,0,6
174,AR,0,1,1,0,10,0,1
175,AR,0,2,2,0,10,0,2
176,AR,0,2,1,0,11,0,1
177,AR,0,2,1,0,8,0,7
178,AR,0,2,6,0,9,0,6
179,AR,0,2,1,0,7,0,7
180,AR,0,1,1,0,10,1,1
181,AR,0,1,1,0,10,0,1
182,AR,0,2,6,0,8,0,6
183,AR,0,2,2,0,11,0,2
184,AR,0,1,1,0,9,1,1
185,AR,0,1,2,0,10,0,2
186,AR,0,2,1,0,10,0,1
187,AR,0,2,1,0,10,0,1
188,AR,0,1,2,0,11,0,2
189,AR,0,2,1,0,10,0,1
190,AR,0,2,1,0,11,0,1
191,AR,0,2,1,0,8,0,1
192,AR,0,1,1,0,9,0,1
193,AR,0,2,6,1,9,0,6
194,AR,0,1,1,0,8,0,7
195,AR,0,1,1,0,13,0,1
196,AR,0,1,1,0,10,0,1
197,AR,0,1,1,0,11,0,1
198,AR,0,2,1,0,10,0,1
199,AR,0,1,2,0,10,0,2
200,AR,0,1,1,0,9,1,1
201,AR,0,2,2,0,10,1,2
202,AR,0,1,6,1,10,0,6
203,AR,0,1,4,0,11,0,4
204,AR,0,1,1,0,11,0,1
205,AR,0,1,2,0,8,1,2
206,AR,0,1,2,0,10,1,2
207,AR,0,1,6,1,10,1,6
208,AR,0,1,1,0,10,0,1
209,AR,0,1,6,0,10,0,6
210,AR,0,2,1,0,10,0,1
211,AR,0,1,2,0,9,1,2
212,AR,0,2,1,0,13,0,1
213,AR,0,2,2,0,9,1,2
214,AR,0,1,1,0,13,0,1
215,AR,0,1,6,0,11,0,6
216,AR,0,2,1,0,9,0,1
217,AR,0,2,1,0,9,1,1
218,AR,0,2,1,0,10,1,1
219,AR,0,2,1,0,9,0,7
220,AR,0,2,1,0,9,0,1
221,AR,0,2,1,0,9,1,1
222,AR,0,1,2,0,10,1,2
223,AR,0,2,2,0,11,0,2
224,AR,0,1,1,0,9,0,1
225,AR,0,2,1,0,6,1,1
226,AR,0,1,1,0,10,0,1
227,AR,0,1,1,0,9,0,1
228,AR,0,2,1,0,9,0,1
229,AZ,1,1,1,1,9,0,7
230,AZ,0,2,6,0,11,0,6
231,AZ,0,1,1,0,10,1,1
232,AZ,0,1,1,0,11,0,7
233,AZ,1,1,2,0,11,0,2
234,AZ,0,2,4,0,11,0,4
235,AZ,1,2,2,0,11,1,2
236,AZ,1,1,1,0,11,1,7
237,AZ,1,2,3,0,10,0,7
238,AZ,1,2,1,0,10,1,7
239,AZ,0,2,1,0,11,1,7
240,AZ,1,2,1,0,9,0,1
241,AZ,0,2,1,0,11,0,1
242,AZ,0,2,2,0,11,0,2
243,AZ,1,2,1,0,11,0,7
244,AZ,0,2,99,0,10,0,99
245,AZ,1,1,1,0,11,0,1
246,AZ,1,1,1,0,10,0,7
247,AZ,0,2,1,0,10,1,1
248,AZ,0,2,1,0,10,1,1
249,AZ,0,1,3,1,11,1,3
