,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
1280,0,1,0,1,0,1,0,1,1,0,0,0,0,0,CA,0,1,1,0,9,0,1
1281,0,0,1,1,0,0,0,0,1,0,0,0,0,0,CA,0,2,1,0,10,0,1
1282,0,0,0,1,0,0,1,0,0,0,0,0,0,0,CA,0,1,6,0,11,0,6
1283,1,0,1,1,0,1,1,1,1,0,0,0,0,1,CA,0,2,99,0,11,0,7
1284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,2,0,9,0,2
1285,0,1,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,2,0,11,0,2
1286,0,1,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,1,0,10,0,1
1287,1,1,1,1,1,0,1,1,0,1,0,0,1,1,CA,0,2,4,0,11,0,4
1288,0,1,0,1,1,0,1,0,0,0,1,0,0,0,CA,1,1,1,0,11,1,1
1289,0,1,1,1,0,1,1,0,0,0,0,0,0,0,CA,0,2,4,0,10,0,4
1290,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,6,0,8,0,6
1291,1,0,1,1,0,1,0,0,1,0,0,0,0,0,CA,1,1,2,0,10,0,2
1292,1,1,0,1,1,1,1,1,1,0,0,0,0,0,CA,1,1,2,0,10,1,2
1293,0,1,0,1,0,0,0,0,0,0,0,0,0,1,CA,0,1,1,0,10,0,7
1294,1,1,1,1,0,1,1,1,1,0,0,0,0,1,CA,0,1,2,0,10,1,2
1295,1,0,1,1,0,0,1,0,0,0,1,0,0,0,CA,0,2,99,0,11,0,7
1296,1,1,0,0,1,0,0,1,1,0,0,0,0,0,CA,1,1,99,0,9,1,7
1297,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CA,0,2,1,0,12,0,1
1298,0,1,0,0,0,0,0,0,0,1,0,0,0,1,CA,0,2,99,0,11,0,7
1299,1,1,0,0,1,0,1,1,0,1,0,0,1,1,CA,0,1,99,0,12,1,7
1300,0,0,0,0,0,0,1,0,0,0,0,0,1,0,CA,0,1,4,0,11,0,4
1301,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,99,0,9,1,7
1303,0,1,0,0,0,0,0,0,0,1,0,0,0,0,CA,0,2,1,0,10,0,7
1304,1,1,1,0,0,0,0,0,0,0,0,0,0,1,CA,0,2,2,0,12,0,2
1305,0,1,0,1,1,1,1,1,1,0,0,0,0,0,CA,1,2,99,0,11,0,7
1306,0,1,0,0,0,0,0,1,0,1,1,0,0,1,CA,0,2,99,0,11,1,7
1307,0,1,0,0,0,0,1,1,0,0,0,0,0,0,CA,0,1,2,0,11,1,2
1308,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CA,0,2,2,0,11,0,7
1309,1,0,1,1,0,0,1,0,0,0,0,0,0,1,CA,0,2,1,0,10,0,1
1310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,1,7
1311,1,0,0,1,0,0,1,1,1,1,0,0,1,1,CA,0,1,2,0,9,1,2
1312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,99,0,8,0,7
1313,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,11,0,7
1314,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,1,0,10,1,1
1315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,10,1,2
1316,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CA,1,1,2,0,11,0,2
1317,1,0,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,2,0,11,0,2
1318,0,1,1,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,2,0,11,0,2
1319,0,1,1,1,0,0,1,1,0,0,0,0,0,0,CA,0,1,99,0,10,0,7
1320,0,1,0,0,1,0,1,0,0,0,1,0,0,1,CA,0,2,1,0,11,0,7
1321,0,0,0,0,1,0,1,0,1,0,0,0,0,0,CA,1,1,99,0,10,0,7
1322,0,1,1,1,1,1,1,1,0,0,0,0,1,0,CA,0,1,1,0,12,0,7
1323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1324,1,0,1,1,0,0,1,1,1,0,0,0,1,0,CA,0,1,2,0,11,0,2
1325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,9,1,2
1326,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,11,0,7
1327,0,1,0,1,0,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,9,1,7
1328,1,0,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,1,6,0,9,0,6
1329,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,11,1,1
1331,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,1,99,0,11,0,7
1332,1,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,6,0,10,0,6
1333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,2,0,9,0,7
1334,1,1,0,0,1,1,1,1,1,0,0,0,1,1,CA,0,2,2,0,10,1,2
1335,1,1,1,1,1,0,1,1,0,0,0,0,0,0,CA,0,2,2,0,9,0,2
1336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,12,0,7
1337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,10,0,7
1338,0,0,0,0,1,0,1,0,0,0,0,0,0,0,CA,1,1,99,0,13,0,7
1339,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CA,0,2,99,0,10,0,7
1340,1,0,1,1,0,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,10,0,1
1342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CA,0,2,1,0,9,1,1
1343,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CA,0,2,2,0,10,0,2
1344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,1,0,10,0,1
1345,1,1,1,1,0,0,1,1,1,0,0,0,0,1,CA,0,1,99,0,11,0,7
1346,1,1,0,0,0,0,1,0,0,0,0,0,1,1,CA,0,2,1,0,0,0,7
1347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,2,99,0,9,0,7
1348,1,1,1,0,1,0,0,0,0,0,0,0,1,0,CA,0,2,1,0,11,0,1
1349,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,1,0,10,0,1
1350,0,1,0,0,1,0,1,0,1,0,0,0,0,0,CA,0,2,1,0,11,0,7
1351,1,0,1,1,0,0,1,1,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1352,1,1,0,0,1,1,1,1,1,0,0,0,0,0,CA,0,1,99,0,11,1,7
1354,1,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,1,1,0,9,1,1
1355,1,0,0,0,0,0,0,0,0,1,0,0,0,0,CA,0,2,99,0,11,1,7
1356,0,0,0,0,0,0,1,0,0,0,1,0,0,0,CA,0,1,1,0,10,0,1
1357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,2,0,11,0,2
1358,0,0,0,0,1,0,1,0,0,0,0,0,0,1,CA,1,1,1,0,9,0,1
1359,1,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,99,0,11,1,7
1360,0,0,1,0,0,0,0,0,0,1,0,0,0,0,CA,1,2,2,0,10,0,2
1361,1,1,1,1,1,1,1,1,1,0,0,0,0,1,CA,1,1,1,0,10,0,7
1362,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,11,0,2
1363,0,1,1,1,1,0,0,0,0,0,0,0,0,0,CA,0,1,2,0,11,1,2
1364,1,0,1,0,1,0,1,0,0,0,0,0,0,0,CA,1,1,99,0,9,0,7
1365,0,0,0,0,0,0,0,0,1,1,0,0,0,0,CA,0,1,2,0,11,1,2
1366,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CA,0,2,1,0,11,0,1
1367,1,0,0,0,1,0,0,0,0,0,0,0,0,1,CA,0,1,1,0,11,1,1
1368,0,1,0,1,0,1,1,1,1,1,0,0,0,1,CA,0,1,2,0,11,0,2
1369,1,1,1,1,0,0,0,1,0,0,0,0,0,0,CA,0,2,99,0,10,0,7
1370,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,1,0,10,0,1
1371,1,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,1,0,10,0,7
1372,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,8,0,7
1373,0,1,0,1,0,1,0,1,1,0,0,0,0,0,CO,1,2,1,0,12,0,1
1374,0,1,1,1,1,0,1,0,0,0,0,0,1,1,CA,0,2,1,0,11,0,7
1375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CA,0,1,99,0,10,1,7
1376,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,4,0,10,0,4
1377,0,1,1,0,0,0,1,0,1,0,0,0,0,0,CA,0,1,99,0,12,0,7
1378,1,0,0,0,0,0,0,0,0,1,0,0,0,0,CA,0,1,1,0,11,1,1
1379,1,1,1,1,0,0,1,1,0,0,1,0,0,1,CA,0,2,1,0,12,0,1
1380,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,9,0,7
1381,0,1,1,0,1,0,1,1,0,0,0,0,0,0,CA,0,2,1,0,11,1,7
1382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,6,0,11,0,6
1383,0,1,0,1,0,0,0,0,0,0,0,0,0,0,CA,0,1,2,0,10,0,2
1384,1,1,0,1,0,0,1,0,1,0,0,0,1,0,CA,0,2,99,0,11,0,7
1385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CA,0,1,2,0,13,0,2
1386,1,1,0,1,0,0,0,0,0,0,0,0,0,0,CA,0,2,1,0,10,0,7
1387,1,1,1,1,0,1,1,1,1,1,0,0,0,1,CA,0,2,2,0,9,0,2
1388,0,1,1,1,0,0,1,0,1,0,1,0,0,0,CA,0,1,1,0,11,1,7
1389,1,1,1,1,1,1,1,1,1,0,0,0,0,1,CA,0,2,99,0,10,0,7
1390,0,1,1,1,0,1,0,1,0,0,0,0,0,1,CA,0,1,99,0,11,0,7
1391,1,1,1,1,0,1,1,1,1,1,0,0,0,1,CA,0,2,99,0,9,0,7
1392,0,0,1,0,1,0,1,0,0,0,1,0,0,1,CA,0,2,1,0,11,0,1
1393,1,1,1,1,1,1,1,1,1,0,0,0,0,1,CA,0,2,5,0,9,0,7
1394,1,1,1,1,1,0,1,0,0,0,0,0,1,0,CA,0,1,1,0,11,1,1
1395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,1,99,0,10,0,7
1396,0,1,0,1,0,0,1,0,1,0,0,0,1,0,CA,0,2,1,0,11,0,1
1397,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CA,1,1,99,0,9,0,7
1398,0,1,0,0,0,0,1,0,1,1,1,0,0,0,CA,0,1,1,0,10,0,1
1399,0,1,0,1,1,1,1,1,1,0,0,0,0,0,CA,1,1,99,0,11,1,7
1400,0,0,0,1,0,0,0,0,0,1,0,0,0,0,CA,0,1,1,0,11,1,7
1401,1,0,0,0,0,1,1,0,1,0,0,0,0,1,CA,0,1,2,0,10,1,2
1402,1,0,1,1,0,1,1,0,1,0,0,0,0,1,CA,0,1,1,0,10,0,1
1403,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,99,0,10,1,7
1404,0,1,1,0,0,0,0,0,0,0,0,0,1,1,CA,0,2,99,0,11,0,7
1405,1,0,0,0,0,1,1,1,1,0,0,0,0,0,CA,0,1,2,0,10,1,2
1406,0,1,1,1,1,1,1,1,1,1,1,0,0,1,CA,0,2,99,0,10,0,7
1407,1,0,0,0,0,1,0,1,1,1,0,0,0,1,CA,0,2,99,0,11,0,99
1408,0,0,0,0,0,0,1,0,0,0,0,0,0,1,CA,0,2,2,0,11,0,2
1409,0,1,1,1,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1410,0,0,1,1,0,0,1,1,1,0,1,0,1,0,CA,0,2,1,0,12,0,7
1411,0,1,0,0,0,0,0,1,1,0,0,0,0,0,CA,0,2,99,0,10,1,7
1412,1,1,0,0,1,1,1,1,1,1,0,0,0,0,CA,1,1,99,0,11,0,99
1413,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,9,0,2
1414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1415,0,1,1,1,0,1,1,0,1,0,0,0,0,1,CA,0,1,2,0,10,1,2
1416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,10,0,1
1418,1,1,1,1,1,0,1,1,1,0,0,0,0,1,CA,0,2,99,0,11,0,7
1419,1,1,0,1,0,1,0,1,1,0,0,0,0,1,CA,0,2,99,0,10,0,7
1420,1,1,0,1,0,0,1,0,1,0,0,0,0,1,CA,1,1,99,0,11,1,7
1421,0,1,0,1,0,1,1,0,1,0,1,0,0,0,CA,0,1,1,0,10,1,1
1422,0,1,0,0,0,1,1,1,1,1,0,0,0,0,CA,0,1,1,0,10,0,1
1423,0,1,1,0,1,0,1,0,0,0,0,0,0,0,CA,0,2,2,0,11,1,2
1424,1,0,0,0,0,0,0,0,0,0,1,0,0,0,CA,0,1,1,0,10,0,1
1425,0,1,0,0,1,0,1,0,1,0,0,0,0,1,CA,0,1,2,0,11,1,2
1426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,99,0,11,0,7
1427,0,1,0,0,1,0,1,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1428,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CA,0,2,99,0,11,0,7
1429,1,1,1,1,1,1,1,1,1,1,1,0,1,1,CA,0,2,1,0,9,0,7
1430,0,0,0,0,0,1,1,0,1,0,0,0,0,0,CA,1,1,1,0,11,0,1
1431,0,1,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,2,0,11,0,2
1432,1,1,1,1,1,1,1,1,1,0,0,0,0,1,CA,0,2,4,0,11,0,4
1433,0,0,1,1,0,0,0,0,1,0,0,0,0,1,CA,0,1,99,0,11,0,7
1434,0,0,1,1,0,1,1,0,1,0,0,0,1,0,CA,0,2,99,0,12,0,7
1435,0,1,0,1,0,0,1,1,0,0,0,0,0,1,CA,1,1,1,0,0,0,1
1436,0,1,1,1,1,0,1,0,0,0,0,0,1,1,CA,0,1,1,0,10,1,1
1437,0,1,0,1,0,0,1,1,1,0,0,0,0,0,CA,0,1,99,0,10,1,99
1438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,1,0,10,0,1
1439,0,1,0,0,0,0,0,0,1,0,0,0,0,0,CA,0,1,1,0,12,0,1
1440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,2,99,0,10,0,7
1441,0,1,1,1,0,0,1,0,0,0,0,0,0,0,CA,0,2,1,0,10,0,1
1442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CA,0,2,2,0,11,1,7
1443,0,1,0,1,0,1,0,0,0,0,0,0,0,0,CA,0,1,2,0,10,0,2
1444,1,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,2,1,0,10,1,1
1445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,10,1,2
1446,0,0,0,1,0,0,0,0,1,1,0,0,0,0,CA,0,1,1,0,10,0,1
1447,0,1,0,1,0,0,1,1,1,0,0,0,0,1,CA,1,2,2,0,9,0,2
1448,0,1,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,1,2,0,11,0,2
1449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,1,99,0,10,1,7
1450,0,1,0,1,0,0,1,1,1,0,0,0,0,1,CA,0,2,1,0,9,1,1
1451,1,1,0,1,1,1,1,1,1,0,0,0,0,0,CA,1,2,99,0,10,0,7
1452,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CA,0,1,1,0,9,0,1
1453,0,1,0,1,0,1,1,0,0,0,0,0,0,0,CA,0,2,1,0,11,0,1
1454,0,1,0,1,1,0,1,0,1,0,0,0,0,0,CA,0,2,1,0,9,0,1
1455,1,0,0,1,0,1,1,1,0,1,0,0,1,1,CA,0,2,4,0,12,0,4
1456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,9,1,7
1457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,10,0,1
1458,1,1,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1459,1,1,0,1,0,1,1,1,1,1,1,0,0,0,CA,1,2,2,0,9,1,2
1460,0,1,0,1,0,1,1,0,1,1,0,0,0,0,CA,0,2,1,0,10,0,1
1461,1,1,0,1,1,1,0,1,1,0,0,0,0,1,CA,0,2,99,0,9,1,7
1462,1,0,1,0,0,0,0,0,0,1,0,0,0,1,CA,1,1,99,0,9,1,7
1463,1,0,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1464,1,1,0,1,0,0,0,1,0,0,0,0,0,0,CA,0,2,99,0,10,0,7
1465,1,1,0,1,0,1,1,1,1,0,0,0,0,1,CA,0,1,99,0,10,0,7
1466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,6,0,11,0,6
1467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,10,0,7
1468,1,1,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,2,0,11,1,2
1469,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CA,0,1,2,0,11,0,7
1470,0,1,0,0,0,1,0,0,1,0,0,0,0,0,CA,1,1,1,0,11,0,1
1471,0,1,0,0,0,0,0,0,0,0,0,0,0,1,CA,0,2,99,0,11,0,7
1472,1,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,10,0,7
1473,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,99,0,10,1,7
1474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1475,0,0,0,1,1,0,0,0,1,0,0,0,0,0,CA,0,2,4,0,9,0,4
1476,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CA,0,2,1,0,10,0,1
1477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CA,0,1,99,0,11,1,7
1478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1479,0,1,0,1,0,0,1,1,1,1,0,0,0,1,CA,0,2,2,0,11,0,2
1480,0,1,0,1,1,0,0,0,1,0,0,0,0,1,CA,1,1,99,0,11,0,7
1481,1,0,0,0,1,0,0,0,0,1,0,0,0,0,CA,0,1,1,0,11,0,1
1482,1,1,1,1,1,0,1,1,0,0,0,0,1,0,CA,0,1,6,0,9,0,6
1483,1,0,0,1,1,0,1,0,1,0,0,0,0,0,CA,0,1,1,0,10,0,7
1484,0,0,0,0,0,1,1,0,1,0,0,0,0,1,CA,0,1,2,0,9,0,2
1485,0,1,0,0,0,0,0,0,1,0,0,0,0,0,CA,0,1,4,0,11,1,7
1486,0,1,0,0,0,0,1,1,1,0,0,0,0,0,CA,0,1,1,0,11,1,1
1487,1,1,1,0,1,0,1,1,0,0,0,0,1,1,CA,0,2,2,0,8,0,2
1488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,10,0,2
1489,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CA,0,2,99,0,11,0,7
1490,0,1,0,1,0,0,0,1,0,0,0,0,0,0,CA,0,1,99,0,10,0,7
1491,0,1,0,1,0,0,0,0,1,0,1,0,0,0,CA,0,1,2,0,11,0,7
1492,0,0,0,1,1,1,1,0,0,0,0,0,0,0,CA,1,1,4,0,10,0,4
1493,1,0,0,1,0,1,1,1,0,0,0,0,0,0,CA,0,1,2,0,9,1,2
1494,1,1,0,0,0,1,1,1,1,1,0,0,0,0,CA,1,1,99,0,10,0,7
1495,1,0,1,0,0,0,1,0,1,0,0,0,0,1,CA,1,2,1,0,10,1,7
1496,0,1,0,0,0,0,0,1,1,0,0,0,0,0,CA,0,2,3,1,10,1,7
1497,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CA,0,1,99,0,9,0,7
1498,0,0,1,0,0,1,0,0,0,0,0,0,0,0,CA,0,1,99,0,10,0,7
1499,1,0,0,1,0,1,1,1,0,0,0,0,0,1,CA,0,2,2,0,10,0,7
1500,1,0,1,1,1,0,1,0,0,0,1,0,1,0,CA,0,2,1,0,9,0,1
1501,0,1,1,1,0,0,0,1,1,0,1,0,1,0,CA,0,2,1,0,11,1,1
1502,1,1,1,1,0,1,1,1,1,0,0,0,0,0,CA,0,2,99,0,10,0,7
1503,1,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,6,0,10,0,6
1504,1,1,1,1,0,0,1,1,1,1,0,0,0,1,CA,0,2,99,0,10,0,7
1505,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1506,0,1,0,0,0,1,1,0,0,0,0,0,0,0,CA,0,1,2,0,6,0,2
1507,1,0,0,0,0,1,1,0,1,0,0,0,0,1,CA,0,1,99,0,10,1,7
1508,0,1,1,1,0,1,1,1,1,0,0,0,0,0,CA,1,1,99,0,11,0,7
1509,1,1,0,1,0,0,0,1,0,0,0,0,0,0,CA,1,1,99,0,9,1,7
1510,1,0,0,0,0,0,1,0,1,0,1,0,0,0,CA,0,2,1,0,10,1,1
1511,0,1,1,0,1,0,1,0,0,0,0,0,0,0,CA,0,1,99,0,11,0,7
1512,1,0,0,1,0,0,0,0,0,0,1,0,0,0,CA,0,1,1,0,11,0,1
1513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,10,0,2
1514,1,1,0,0,0,0,0,1,0,0,0,0,1,1,CA,0,2,2,0,11,0,2
1515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,10,0,7
1516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,2,1,0,9,0,7
1518,1,0,0,1,0,0,0,0,0,1,0,0,0,0,CA,0,1,1,0,11,0,1
1519,0,1,0,1,0,0,1,1,0,0,1,0,0,1,CA,1,1,99,0,9,0,7
1520,1,0,0,0,0,0,1,0,0,1,1,0,0,0,CA,0,2,99,0,10,0,7
1521,0,1,1,0,0,0,1,1,0,0,0,0,0,1,CA,0,1,2,0,10,0,2
1522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,11,1,7
1523,0,0,0,0,0,0,1,0,0,0,1,0,0,1,CA,0,2,99,0,10,1,7
1524,1,1,1,0,1,0,1,1,1,0,0,0,0,0,CA,0,2,99,0,10,0,7
1525,0,1,1,1,1,1,1,0,0,0,0,0,1,1,CA,0,1,1,0,12,0,1
1526,1,1,1,1,1,1,1,1,1,0,0,0,0,1,CA,1,2,2,0,10,0,2
1527,0,1,1,1,1,0,0,0,0,0,0,0,0,0,CA,0,1,2,0,10,0,7
1528,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CA,0,2,99,0,11,1,7
1529,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,8,0,7
1530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,13,1,2
1531,1,1,1,1,1,1,1,1,1,1,0,0,0,1,CA,0,2,1,0,10,1,1
1532,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,99,0,11,0,7
1533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,2,99,0,10,0,7
1534,1,0,1,1,0,1,1,1,0,0,0,0,0,0,CA,1,2,1,0,10,0,1
1535,0,1,0,0,1,1,0,1,0,0,0,0,0,0,CA,0,1,1,0,11,1,7
1536,1,1,1,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,11,0,7
1538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,10,0,1
1539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,2,0,11,0,2
1540,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,1,99,0,10,0,7
1541,0,1,1,0,0,1,0,1,1,0,0,0,1,0,CA,0,2,1,0,11,0,7
1542,0,1,0,0,0,0,0,0,1,0,0,0,0,0,CA,0,2,1,0,10,1,7
1543,0,1,0,0,0,0,1,0,0,0,0,0,0,0,CA,0,2,6,0,8,0,6
1544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,10,0,7
1545,0,0,0,0,0,0,1,0,1,0,0,0,0,0,CA,0,1,99,0,10,0,7
1546,0,1,0,1,1,0,0,0,0,0,0,0,0,0,CA,0,1,1,0,10,0,1
1547,0,1,0,1,1,1,1,1,1,0,0,0,0,0,CA,1,1,1,0,10,0,1
1548,1,1,0,0,0,0,1,1,1,0,0,0,0,1,CA,0,2,2,0,11,1,2
1549,1,1,0,0,0,1,1,1,1,1,1,0,1,1,CA,0,2,2,0,11,0,2
1550,0,1,1,1,1,0,0,0,1,0,0,0,0,1,CA,0,1,1,0,10,0,7
1551,1,1,0,0,1,0,1,1,1,0,0,0,0,1,CA,0,2,99,0,10,0,7
1552,0,1,0,0,0,0,1,0,1,0,0,0,0,0,CA,0,2,2,0,9,0,7
1553,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,10,0,7
1554,1,0,0,1,0,0,0,0,1,0,0,0,1,1,CA,0,1,1,0,10,0,7
1555,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CA,0,1,99,0,10,0,7
1556,1,1,1,1,0,0,1,0,1,1,0,0,0,1,CA,0,1,99,0,9,0,7
1557,0,1,0,0,0,0,0,1,0,0,0,0,0,0,CA,0,2,1,0,11,1,7
1558,1,1,1,1,0,1,1,0,1,0,0,0,1,0,CA,1,1,1,0,11,1,1
1559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CA,0,2,99,0,10,0,7
1560,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,1,99,0,11,0,7
1561,1,1,0,1,0,1,0,1,0,0,0,0,0,1,CA,0,2,99,0,10,0,7
1562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CA,1,2,1,0,11,0,1
1563,0,0,0,1,0,0,1,0,1,0,0,0,0,0,CA,0,2,1,0,6,0,1
1564,1,1,0,1,1,0,0,1,0,0,0,0,0,1,CA,0,2,2,0,10,0,2
1565,0,1,1,1,1,1,1,0,1,0,0,0,0,0,CA,0,2,2,0,11,1,2
1566,0,1,1,1,1,0,0,0,1,0,0,0,1,0,CA,0,2,99,0,10,0,7
1567,0,1,0,1,0,0,0,0,0,0,0,0,0,0,CA,0,1,99,0,9,0,7
1568,1,1,1,1,0,0,1,1,1,1,1,0,1,1,CA,0,2,1,0,10,0,7
1569,0,1,0,1,1,1,1,1,1,0,0,0,0,0,CA,1,2,2,0,10,0,2
1570,0,1,0,1,0,1,0,0,0,0,0,0,0,0,CA,0,1,1,0,11,0,7
1571,0,1,1,1,0,0,0,1,1,0,1,0,1,0,CA,0,2,1,0,11,0,7
1572,0,1,1,1,0,0,1,1,1,1,0,0,0,1,CA,0,2,2,0,10,0,2
