,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
71,0,1,0,0,0,1,1,1,1,1,0,1,1,1,AL,0,1,1,0,9,0,1
72,0,1,1,1,1,1,1,1,1,1,0,0,1,0,AL,0,1,2,0,11,0,2
73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AL,0,2,2,0,8,0,2
74,0,0,0,1,1,1,1,1,1,1,0,0,0,0,AL,0,1,2,0,13,0,2
75,0,1,0,1,0,1,0,1,0,1,0,0,0,0,AL,0,2,2,0,11,1,2
76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,AL,0,2,1,0,11,0,1
77,0,1,0,0,0,0,0,1,0,0,0,0,1,1,AL,0,1,2,0,10,1,2
78,0,1,0,0,0,1,1,1,0,0,1,0,0,1,AL,0,2,2,0,11,1,2
79,0,1,0,0,0,1,0,0,1,0,0,0,0,0,AL,0,1,2,0,11,0,2
80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,AL,0,1,2,0,10,0,2
81,0,1,0,0,0,1,0,0,0,1,0,0,0,0,AL,0,1,1,0,9,0,1
82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AL,0,2,2,0,12,0,2
83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,AL,0,1,1,0,9,0,1
84,0,0,0,0,0,1,0,0,1,0,0,0,1,0,AL,0,1,2,0,12,0,2
85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AL,0,2,1,0,11,1,1
86,0,0,0,0,0,0,0,0,1,1,0,0,0,0,AL,0,1,1,0,10,0,1
87,0,1,0,0,0,1,1,1,0,0,1,0,0,1,AL,0,1,2,0,10,0,2
88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AL,0,2,2,0,9,0,2
89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,AL,0,2,1,0,12,1,1
90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AL,0,1,2,0,10,0,2
91,0,1,0,0,0,1,0,0,0,1,1,0,0,0,AL,0,1,1,0,11,1,1
92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AL,0,1,2,0,11,0,2
93,0,1,1,1,1,1,1,1,1,1,0,0,1,0,AL,0,1,1,0,13,0,1
94,0,1,0,0,0,0,0,0,0,1,0,0,0,0,AL,0,2,2,0,11,0,2
95,0,0,0,1,0,0,0,1,1,0,0,0,0,0,AL,0,2,1,0,11,0,1
96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,AR,0,1,1,0,7,0,1
97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AL,0,2,1,0,10,0,1
98,0,1,0,1,0,0,0,1,1,1,0,0,0,0,AL,0,2,1,0,12,0,1
99,0,0,1,0,0,1,0,1,1,0,0,0,1,1,AL,0,1,2,0,12,0,2
100,0,1,0,0,0,0,0,1,0,0,0,0,1,1,AL,0,2,1,0,10,0,1
101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AL,0,2,2,0,12,0,2
102,0,0,0,0,0,1,0,0,1,0,0,0,0,0,AL,0,1,1,0,13,0,7
103,1,1,0,0,0,1,1,1,1,1,0,0,0,0,AL,0,2,1,0,10,0,1
104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AL,0,1,2,0,11,0,2
105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AR,0,2,1,0,10,1,1
106,1,0,0,1,0,0,1,1,1,1,0,0,0,0,AR,0,2,1,0,9,1,1
107,0,1,0,1,1,0,1,1,1,0,0,0,0,1,AR,0,1,2,0,9,0,2
108,1,1,1,0,1,1,0,1,1,1,0,0,0,0,AR,0,1,1,0,11,0,1
109,1,0,0,1,0,0,0,1,0,0,0,0,0,1,AR,0,2,1,0,9,0,7
110,1,1,0,1,1,1,1,1,1,1,0,0,1,1,AR,0,2,1,0,11,0,1
111,0,1,0,1,1,1,1,1,1,1,0,0,0,0,AR,0,1,2,0,11,0,2
112,0,1,0,1,0,1,1,1,1,0,0,0,0,0,AR,0,1,1,0,10,1,1
113,1,0,0,0,0,0,1,0,0,0,0,0,0,0,AR,0,2,1,0,10,0,7
114,1,0,0,1,0,0,0,0,0,0,0,0,0,0,AR,0,1,1,0,10,0,1
115,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AR,0,2,2,0,9,1,2
116,1,0,1,0,0,0,0,1,1,0,0,0,0,0,AR,0,1,1,0,10,1,1
117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AR,0,1,1,0,10,0,1
118,1,0,0,0,0,0,1,0,1,0,0,0,0,0,AR,0,1,1,0,10,0,1
119,0,1,0,1,1,0,0,1,1,0,0,0,1,0,AR,0,2,1,0,11,0,1
120,1,1,0,0,0,0,0,1,0,0,0,0,0,0,AR,0,2,2,0,9,1,2
121,1,0,0,1,0,1,0,0,0,1,0,0,0,0,AR,0,1,1,0,9,0,1
122,0,0,0,0,0,0,1,1,1,1,0,0,0,0,AR,0,1,1,0,10,0,1
123,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AR,0,2,1,0,9,0,1
124,1,1,1,1,1,0,0,1,1,1,1,0,0,0,AR,0,1,1,0,9,1,1
125,0,1,0,0,0,0,1,0,1,0,0,0,0,0,AR,0,2,2,0,6,0,2
126,1,1,0,1,1,0,1,1,1,1,0,0,1,0,AR,0,2,1,0,8,0,1
127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,AR,0,1,6,0,8,0,7
128,0,1,1,1,1,0,1,1,1,0,0,1,1,1,AR,0,1,6,0,10,1,6
129,0,0,0,1,0,0,1,1,1,1,1,0,0,0,AR,0,1,1,0,11,1,1
130,1,1,0,1,0,0,1,1,1,1,0,0,0,0,AR,0,2,1,0,10,0,1
131,1,0,0,1,0,1,1,1,1,0,0,0,0,0,AR,0,2,1,0,10,1,1
132,1,1,1,0,1,1,0,1,1,1,0,0,0,0,AR,0,2,1,0,11,0,1
133,1,0,1,1,0,0,0,1,1,0,0,0,0,0,AR,0,1,1,0,10,0,1
134,0,0,0,1,1,0,0,0,0,1,1,0,0,0,AR,0,1,1,0,9,1,1
135,1,1,1,1,0,0,1,0,0,0,1,0,1,1,AR,0,2,1,0,13,0,1
136,1,0,0,0,0,1,0,0,1,0,0,0,0,0,AR,0,2,1,0,9,0,1
137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,0,1,1,0,10,1,1
