,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,Num_services
96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
98,0,1,0,1,0,0,0,1,1,1,0,0,0,0,5
99,0,0,1,0,0,1,0,1,1,0,0,0,1,1,6
100,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4
101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
102,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
103,1,1,0,0,0,1,1,1,1,1,0,0,0,0,7
104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
106,1,0,0,1,0,0,1,1,1,1,0,0,0,0,6
107,0,1,0,1,1,0,1,1,1,0,0,0,0,1,7
108,1,1,1,0,1,1,0,1,1,1,0,0,0,0,8
109,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4
110,1,1,0,1,1,1,1,1,1,1,0,0,1,1,11
111,0,1,0,1,1,1,1,1,1,1,0,0,0,0,8
112,0,1,0,1,0,1,1,1,1,0,0,0,0,0,6
113,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
114,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
115,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
116,1,0,1,0,0,0,0,1,1,0,0,0,0,0,4
117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
118,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3
119,0,1,0,1,1,0,0,1,1,0,0,0,1,0,6
120,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
121,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4
122,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4
123,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
124,1,1,1,1,1,0,0,1,1,1,1,0,0,0,9
125,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3
126,1,1,0,1,1,0,1,1,1,1,0,0,1,0,9
127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
128,0,1,1,1,1,0,1,1,1,0,0,1,1,1,10
129,0,0,0,1,0,0,1,1,1,1,1,0,0,0,6
130,1,1,0,1,0,0,1,1,1,1,0,0,0,0,7
131,1,0,0,1,0,1,1,1,1,0,0,0,0,0,6
132,1,1,1,0,1,1,0,1,1,1,0,0,0,0,8
133,1,0,1,1,0,0,0,1,1,0,0,0,0,0,5
134,0,0,0,1,1,0,0,0,0,1,1,0,0,0,4
135,1,1,1,1,0,0,1,0,0,0,1,0,1,1,8
136,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3
137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3
139,0,0,0,1,1,1,0,0,1,0,0,0,0,1,5
140,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4
141,1,1,0,1,1,0,1,1,1,0,0,0,0,0,7
142,0,1,0,1,1,1,1,1,1,1,0,0,0,0,8
143,1,0,0,1,0,1,1,1,1,0,0,0,0,0,6
144,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
145,1,0,0,1,0,1,1,1,1,0,0,0,0,0,6
146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
148,0,1,0,1,1,1,1,1,1,1,1,1,1,1,12
149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
150,1,1,0,1,0,0,1,1,0,0,0,0,0,0,5
151,1,0,1,0,0,0,0,0,1,0,1,0,1,1,6
152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
153,0,1,0,1,0,1,1,1,1,1,1,0,0,0,8
154,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4
155,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3
156,0,0,0,0,1,1,0,0,1,0,0,0,0,1,4
157,1,1,1,0,1,0,0,1,1,1,0,0,0,0,7
158,1,1,1,1,1,1,1,1,1,1,0,0,1,1,12
159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
161,1,1,1,1,1,1,1,1,1,1,0,0,0,1,11
162,1,1,0,1,1,1,1,1,1,1,0,0,1,0,10
163,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
164,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4
167,0,1,0,1,1,1,1,1,1,1,0,0,1,0,9
168,1,1,1,1,1,0,0,1,1,1,0,0,0,0,8
169,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
170,1,1,1,1,1,0,0,0,0,0,1,1,1,1,9
171,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3
172,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
173,1,0,1,0,0,0,0,0,0,0,1,1,0,1,5
174,0,1,0,1,1,1,1,1,1,1,0,0,0,0,8
175,1,1,0,1,0,0,1,1,1,1,0,0,0,0,7
176,0,0,1,1,1,0,0,0,1,0,1,0,0,0,5
177,1,1,1,1,1,1,1,1,1,1,0,0,0,0,10
178,0,1,0,1,1,1,1,1,1,1,0,0,0,0,8
179,1,1,0,1,0,0,1,1,1,0,1,0,0,0,7
180,1,1,0,1,0,0,0,0,0,1,0,0,0,0,4
181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
182,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
183,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
184,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
185,1,0,0,1,0,1,1,1,1,0,0,0,0,0,6
186,1,0,0,1,1,0,1,0,0,1,0,0,1,1,7
187,1,1,0,1,0,1,1,0,1,0,0,0,0,1,7
188,0,1,0,1,0,0,0,0,1,0,0,0,0,1,4
189,1,1,0,1,1,1,1,0,0,1,0,0,1,0,8
190,0,0,0,1,0,0,0,0,1,0,1,0,1,1,5
191,1,0,0,1,0,0,0,1,1,0,0,0,0,0,4
192,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
193,0,1,0,1,0,0,1,1,1,1,0,0,0,0,6
194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,1,1,1,0,0,0,0,0,1,0,1,1,1,0,7
